newspaper	date	wk
pittsburg-dispatch	1891-03-03	0
the-roanoke-times	1891-01-28	0
waterbury-evening-democrat	1890-11-17	0
frostburg-mining-journal	1890-12-06	0
lawrence-democrat	1890-12-26	0
daily-tobacco-leaf-chronicle	1890-11-17	0
wheeling-register	1891-03-13	0
fergus-county-argus	1890-12-25	0
richmond-dispatch	1890-12-02	0
phillipsburg-herald	1890-12-11	0
the-pioche-weekly-record	1890-12-06	0
the-progressive-farmer	1891-02-17	0
der-deutsche-correspondent	1890-12-29	0
shenandoah-herald	1891-01-09	0
the-anaconda-standard	1890-12-19	0
the-cecil-whig	1890-11-22	0
the-sully-county-watchman	1890-11-29	0
the-maryville-times	1891-01-14	0
indian-chieftain	1891-03-26	0
the-roanoke-times	1891-01-14	0
the-progressive-farmer	1891-02-03	0
the-state-rights-democrat	1891-03-06	0
the-evening-bulletin	1891-03-27	0
wheeling-register	1891-03-07	0
richmond-dispatch	1890-12-16	0
the-portland-daily-press	1890-12-11	0
jamestown-weekly-alert	1891-02-19	0
washington-standard	1891-01-23	0
the-jersey-city-news	1890-11-03	0
omaha-daily-bee	1890-11-27	0
the-indianapolis-journal	1890-12-03	0
alexandria-gazette	1891-03-30	0
deseret-evening-news	1890-11-29	0
the-saline-county-journal	1890-12-11	0
the-wichita-daily-eagle	1891-03-03	0
arizona-weekly-citizen	1891-03-14	0
the-wichita-daily-eagle	1891-03-17	0
the-lebanon-express	1891-02-20	0
the-kimball-graphic	1890-11-28	0
the-daily-bulletin	1890-11-22	0
the-seattle-post-intelligencer	1891-03-09	0
the-indianapolis-journal	1890-12-17	0
alexandria-gazette	1891-03-24	0
ellsworth-american	1891-02-05	0
semi-weekly-interior-journal	1890-12-05	0
the-hartford-herald	1891-01-28	0
the-jersey-city-news	1890-11-17	0
the-portland-daily-press	1890-12-05	0
crittenden-press	1891-03-26	0
evening-capital-journal	1891-03-19	0
the-daily-state-chronicle	1891-02-03	0
baxter-springs-news	1891-01-31	0
the-wheeling-daily-intelligencer	1891-03-27	0
morning-appeal	1891-01-17	0
the-camden-chronicle	1891-01-09	0
evening-capital-journal	1891-03-31	0
juniata-sentinel-and-republican	1891-03-04	0
rock-island-daily-argus	1891-03-27	0
barton-county-democrat	1891-03-26	0
the-salt-lake-herald	1891-02-27	0
the-seattle-post-intelligencer	1891-03-21	0
the-hot-springs-star	1890-11-07	0
deseret-evening-news	1890-11-15	0
dziennik-chicagoski	1891-03-07	0
wheeling-sunday-register	1891-02-22	0
union-county-courier	1891-01-30	0.0137
the-corvallis-gazette	1890-12-19	0
deseret-evening-news	1890-11-01	0
alexandria-gazette	1891-03-18	0
dziennik-chicagoski	1891-03-13	0
